id,name,is_closed,review_count,zip_code,rating
OcCJoOntWcd3hCXAPU0utg,Breuckelen Athletic,False,1,11231,5.0
Yb44oipWMQO1-BpfwIUZPA,Red Hook StrengthWorks,False,4,11231,5.0
syK3qJ-zv9AKf6v2meLCQA,Encore Fitness,False,25,10010,5.0
wn-nUqLskTaJY8R8IfVkYw,UFC GYM NYC SoHo,False,66,10013,4.0
oAwyvQiSWGoGY9ksh4yQRw,befitnyc,False,23,10025,4.5
kW8wW3yJBUFn8RVK9dQFqg,New York Sports Clubs,False,119,10014,2.5
ueYFBEgLHwbatyiEvo5iJw,Hiitspace,False,1,11223,5.0
_clc9Vsmr4StQBWWYetaNw,GYMGUYZ Bay Ridge,False,1,11229,5.0
K335QoyMg73fhkIvb8OCvw,North Brooklyn Branch YMCA-Twelve Town Center,False,17,11208,3.5
6ypvqn9IahMi_vy3S2610g,F45 Training Williamsburg North,False,4,11211,5.0
2NTHYJ9G-rpCz3UiZRis8w,The Trinity Boxing Club,False,15,10007,5.0
hSerpix0u5nlMgKIt3_Taw,Mark Fisher Fitness,False,58,10018,5.0
T4jWNqIUWb2TkATSlJgHaw,Matrix Fitness Club & Personal Training Center,False,161,11105,4.0
z1PzOjI6hwie850KH_pvdQ,Surge Fitness,False,41,07302,5.0
-JIXa-LwIW8ht0ut3gKDpA,Class One MMA,False,26,11217,4.5
vmhevPOT6au2sRnjdNbWBQ,Gotham Gym,False,36,10014,4.5
Ne3YP6Zz1PINkaLO4rI1ew,Remorca Fitness - Gramercy,False,2,10003,5.0
aB4zO3AMSkWtbYnogUq3eQ,Black House Strength & Conditioning,False,9,07302,5.0
ypeRKaFOXoO8QuzAmmoPVg,CompleteBody -  Financial District,False,113,10005,4.0
Pnvw5u8NcEuV2e-D36npKg,Burn Fitness,False,3,11694,2.5
EvU2sjvwGiW6qyDbgBpolQ,Willspace,False,21,10014,5.0
KhopHxSwn6rQYQRdb0nTtw,Equinox Wall Street,False,105,10005,3.0
hLZXJ5MjGpAlsEUXmSuu6w,Planet Fitness,False,37,11236,2.5
h9a4ncyrFUtvZ_oqatExMQ,Jersey City Barbell & LMBG CrossFit,False,16,07304,4.0
JbHNZIHFPtDJ8RCWZciSjA,Crunch Fitness - Richmond Hill,False,74,11418,3.0
SU5xh7FWOHyptU6DacPyOA,Gore's Core Fitness,False,8,10014,5.0
CgR4PNYcnpvg2G4QC1UbCg,30/60/90,False,12,10010,4.5
I2wvjFH5N1FSj9_1yY-rRw,Retro Fitness,False,76,11385,3.0
O-1cGyirHeYO49B27pYPuQ,StuyFitness on 14th,False,1,10009,5.0
9XrLY3Idp2dRgAr_GDYGIA,Sweat W Downtown,False,1,10006,5.0
Dwwr0zG0q0J2DcSTBuIVGA,F45 Training Park Slope,False,9,11217,4.5
uj41ZWyBmfYTY0wm7tpTZg,Brooklyn Lifestyle Athletic Club,False,33,11236,2.0
oaUWTP3TwkCrf1H3XveF7Q,True North Training,False,10,11249,5.0
5vvPQrZWP9mSoSbWmUormQ,Korea Village Fitness,False,36,11354,3.5
SSzwmcpaM_XcAzUFlSqtLg,Metropolitan Pool and Recreation Center,False,50,11211,3.0
R2Zrr3m-UyrSW2GGgDYzLQ,Life Health Fitness - Whitestone,False,47,11357,4.0
o4qhN4AmM7TOGJh6ARSTKg,Nimble Fitness,False,30,10003,4.5
x1EomtF4Uxc_V4Wl5h0Ypg,F45 Training Exchange Place Jersey City,False,20,07302,5.0
1ZkYQV9eUXN_Ly2G7b2geQ,Beast River Fitness,False,28,10009,5.0
cd9MmncJCQu5-h9FJxK9kA,Trooper Fitness,False,88,10022,5.0
oLSEPDs8fAjGqEboNaOo3w,The Fort,False,10,10010,4.5
G28ZzXele9m6xb-l5ZB7TQ,Blink Fitness - 54th St,False,74,10022,3.0
RcICYboQMVOs9B3hONESgg,Equinox SoHo,False,149,10012,3.5
mQmhKsGnD-jfeNJU6qMdVA,TS Fitness,False,79,10065,5.0
B9hepOn0_ZN2YMuShBP-Tw,Liberated Fitness,False,15,10025,4.5
dcmuXaoHGbPRgnASR9EHVQ,CrossFit Virtuosity,False,58,11222,4.5
Xpi_GKjAuZsJbZfP4S9Fmw,Crunch Fitness - FiDi,False,36,10005,3.5
oR3FxE24ARIZdO4-atrMuQ,The Gym 105,False,3,10025,5.0
2bsXe7YsO10zqmyjk1jmYw,CKO Kickboxing Carroll Gardens,False,75,11231,5.0
olDJq24FXYRibc6b1c1LMA,CrossFit Outbreak  - Clinton Hill,False,38,11205,4.5
iasDrFQZEpKiEPKsvbVAkQ,Anytime Fitness,False,7,07067,4.5
f94XxB0Jod_zvoRHHuiwqA,4U Fitness- New York,False,4,10014,5.0
4L0Xek0QclHHa33HnJMs0w,The Strength Center,False,7,07093,5.0
gmDS_5oSBLZmWLz-34UrZw,Tone House,False,163,10016,4.5
MycHyIdtTGqJlAaJv4n0QQ,LA Fitness,False,12,11559,3.0
ZuZ8YPxO9KmUllHvk2XShw,V I P 1 To 1 Fitness Center,False,12,07024,5.0
KuANHE4wH2CmvZRDWIP2Vg,Ltrain CrossFit,False,26,11211,4.0
fVKRJHRemkpJTwUOm6l2xQ,Crunch Fitness - Union Square,False,179,10003,3.0
HfN6J0K_ZftLLGSIeBhYCw,Human@Ease,False,35,11222,4.5
ZwvV_RJv8bTkV0bzrChizg,Absolute Fitness,False,22,10016,5.0
qoR3W44r2hjAF7nGb2GFNw,The Training Lab,False,66,10018,5.0
1YTEZbF731kpkjHS9BYFhA,92Y May Center,False,46,10128,3.5
C9N_-wnhQhcI6teGrqHeJA,CrossFit Jersey City,False,22,07302,4.5
Cfrq5bj7WksLx3LBzp79DQ,Trifecta Strong,False,1,10285,5.0
uGmDkbiECM7Ge4IYYUV6dg,The Complex NYC,False,18,11101,4.0
M3YIgAVeErhdELkuP-fqNg,Iron Lion Performance,False,31,11105,5.0
2C8HrxtJ60ACQOXfbpJ9Hg,Planet Fitness,False,106,10004,3.0
AbbY4EIRvdlxbqR0osqDKw,Lex Fit,False,7,10016,4.0
tR-SQWwjtePur5uvDucihw,Hamilton Health & Fitness,False,46,07302,3.5
b7pr5YCJg0eGAseUQghfag,Clique Fitness Center,False,6,11432,5.0
Or3cP2kT5Mh205TohHknzQ,Clubfit247,False,10,11590,4.5
d39o5ud7fwRbk5voplSi4A,Blink Fitness - Penn Station,False,103,10001,3.0
dfyEtaRU6ORBoojAaWzVxg,Cordell Fitness,False,11,10013,4.5
hCjUI_MLOPznBhADGtwalg,Nicely Fit,False,4,11101,5.0
uH3vhK1Y6TrNQ5u8XeQKfg,Refine Method,False,45,10014,4.5
2UPqLPZTCyIvGtYfOnjCTw,Maximum Motion Fitness,False,12,07302,4.5
I0QIFDoKqu67NQJ9XolyPQ,F45 Training - Long Island City,False,6,11101,5.0
AL_CuRqvkCH1h_czuLPTpA,Iron & Silk Fitness Center,False,33,10009,3.5
4YeeWt1kfll7m9vKvinYnA,Howard Beach CrossFit,False,6,11414,4.5
CiVkmHpcGhGMxElD70_6aA,Crunch Fitness - 19th Street,False,123,10011,3.5
BeToJ7vieyHYWvuPrt6yXA,Crunch Fitness - Brooklyn,False,4,11214,2.5
7COwaP3h56o5Redjq9_9DQ,Ovox Gym & Training Center,False,17,07751,5.0
l3bTNr_sT_gSYO7-BFRWGQ,F45 Training Dumbo,False,3,11201,3.5
aO9bRpwNVx5hWA5SDl2rMg,Blink Fitness - Brownsville,False,5,11212,2.5
VGg6Unj8tDfca5But_Xl8Q,New York City Ninja Academy,False,1,10019,5.0
8z4a0zHkCUGBs9rzO_PUoQ,Switch Playground SoHo,False,33,10012,4.5
vxCypcebqEgmDV0dcR6bcg,CrossFit Wall Street,False,25,10004,4.5
2IF7k2WxxnX50zdqLCOC7A,Crunch Fitness - Tribeca,False,70,10013,3.5
MY6HPi3DmOE5soqIfc7OLA,Phyt NYC,False,10,10022,4.5
lSI14UEVigpHUCSpS7P8Kg,Blink Fitness - Noho,False,299,10012,3.0
uxqguAr0IGjnI0C7FzZ4SQ,NEOU,False,25,10018,4.5
yZVaviIM3KVv1uXMNTsmyQ,Force FitCamp,False,3,11385,5.0
tug54oAGzkg6zOMfCTG0UQ,Verrazano Crossfit,False,17,10304,5.0
T9eF-G1qKlfysuIkr0fM3A,Bell,False,1,10003,5.0
JQmBfUnU0vHyWAHzt0UNdg,Push Fitness Club,False,253,11366,3.5
aDAe1J_w9ZCT6ymhalD2xA,RiverParc Fitness,False,2,07086,4.0
Pk1FErsAyDt6ANrtl9Ox8w,Coney Island Fitness,False,1,11224,5.0
rzuQ13aAoz5KAQqoPLfraA,Flex Mind Body & Spirit Health & Fitness Club,False,4,11417,4.5
Wc-BRi7gtj6txovuXNsaNA,Knockout Performance,False,4,11210,5.0
jzP_nbjylb6mWIkD4WxD3A,Planet Fitness,False,10,11101,4.5
wobxXU3x5B2Pgr7PwxLkiQ,The Terrace Club,False,2,10280,5.0
RrJWrpCFOdDiXikC_4hArg,Blink Fitness - Jackson Heights,False,158,11372,2.0
7QN3-rRh86x5vKzN2H7Bzw,Anytime Fitness,False,12,07010,4.5
rAYfbHJdw2g6F-vyWv0Q6w,W Fitness Club,False,58,11374,3.0
PX3NvUNa5bHzMLTjYAE-Hw,LIFT Fitness,False,8,11576,4.5
9eQWqmedaEVfdMlmE_Z5FQ,Equinox Orchard Street,False,43,10002,2.5
g2zTjqzv8G5-P6NYRDbbNw,The Max Challenge of BayRidge,False,1,11209,5.0
ZMMrZQl2sjcw70lkS1KKbA,Orangetheory Fitness Rockville Centre,False,43,11570,5.0
YH5btkUScbAWVU0Uye-x2A,New York Sports Clubs,False,150,11104,2.5
RmNtf3KuC_Z2OsAT0fW1_Q,Navesink Fitness,False,4,07716,5.0
Rf0jGmyES2hIpnn8J9yKHQ,Crunch Fitness - 38th Street,False,130,10018,3.0
eNUesWPz2iKb0UPRWac4kg,THE MAX Challenge - Hoboken,False,9,07030,5.0
Ag-dQZ3rGqt8W6CnlNJNqw,Equinox Greenwich Avenue,False,149,10014,3.5
qm3WwubINfz9m9IIuCavVA,Blink Fitness - Astoria,False,201,11103,3.0
sDV22f7qnHEjJGXy-WlUKQ,Planet Fitness,False,28,11414,3.5
dSpfgtwSMn5LX6N37NqjlQ,Valley Fitness,False,17,11581,4.0
r8UKNUYkRGOpDjGM-lNwzA,TrainStation NYC,False,2,10010,5.0
LnREsvUxe1XDEPp8CxLc9Q,Equinox Flatiron,False,147,10003,3.0
f5UaO7yo-3V55er15MZ79A,Structure Personal Fitness,False,3,10016,4.5
_-C37Eu1aFstjyH9Sj4HKA,Oculus CrossFit,False,17,10038,4.5
bhFIGCVgZH4Fn1YrdsKJCQ,The Fitness Office,False,5,10028,5.0
8-PI45eXmkaAf_t1P7Dbfw,New York Sports Clubs,False,128,10005,2.5
ClbfVREHyTwR-bwoN69krw,Eastern Queens Boxing Club,False,20,11429,4.5
w89OcXbjsRQkTq5PNbXICQ,Crunch Fitness - Hoboken,False,57,07030,3.0
kH_C6K7T6T0zhMlfUwCEOA,Blink Fitness - Ozone Park,False,36,11416,3.0
K_v5t4VQHcZLl4cxXieDig,Equinox Highline,False,88,10011,3.5
BwqEUnPl5oU2-NaF6dkQ5Q,HACKD,False,4,10011,5.0
HBpkzCuxyVnw_gXo1FKYEA,TMPL - Hell's Kitchen,False,4,10019,4.0
sUTWBc_hfsfCsil3xpwQNw,Fitness Lounge,False,7,11103,5.0
qNqLENNTgVQgyneh4Voggw,Complete by CompleteBody Union Square,False,14,10011,5.0
iv5L9PdbZs8TCibV1WnkTg,Equinox Bond Street,False,45,10012,3.0
XXUkQHHsp-ZKcaSEYTN_Pg,Five Points Academy,False,57,10013,4.5
EamtVYxeKpvCZFDAqHeBSA,Manhattan Athletic Club,False,14,10172,4.0
YkQgpsF-WU9GBc0QQzDUcg,Legit Independent Training Gym,False,4,10075,5.0
Hi1ochTTV74EfKZoqgcLHw,Intoxx Fitness,False,22,10304,3.0
v5vyTvoJrGmSIdjmAeGm1Q,Blink Fitness - Murray Hill,False,150,10016,3.0
9HuogETyx4fJzdMQFq0XgQ,24 Hour Fitness - Valley Stream,False,70,11581,2.0
MjbnP1sckmL-YMsLw9iUXQ,Blink Fitness - East Village,False,85,10009,2.5
pVg14AHG4Ppaxm82Lm5kBQ,Star Fitness,False,27,10461,4.0
o1jYBEAWVA2_OfNYexqi3Q,SLT Flatiron,False,43,10010,4.0
q4AZGMIksYWbNqCSKgwKqw,Blink Fitness - Bryant Park,False,117,10018,2.5
